Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2018","10 PUNCHESTOWN GATE, DUBLIN RD, NAAS","Kildare","","€176,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","23 Kilheale Drive, Kilheale Manor, Kill","Kildare","","€277,533.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2018","35 WOODLANDS PARK, COILL DUBH, ROBERTSTOWN","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","615 THE COURTYARD, K CLUB, STRAFFAN","Kildare","","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","BALLINRAHIN HOUSE, RATHANGAN, KILDARE","Kildare","","€525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","BOSTON HILL, RATHANGAN, COUNTY KILDARE","Kildare","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","1 SYCAMORE AVE, CELBRIDGE RD, LEIXLIP","Kildare","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","11 WILLOWBROOK LODGE, CELBRIDGE, KILDARE","Kildare","","€245,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","21 Kilheale Drive, Kilheale Manor, Kill","Kildare","","€255,506.60","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","5 COURTOWN PARK, KILCOCK, KILDARE","Kildare","","€120,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","73 ALLEN VIEW HEIGHTS, NEWBRIDGE, KILDARE","Kildare","","€237,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","COOLRAKE, MOONE, ATHY","Kildare","","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","14 NEWTOWN COURT, MAYNOOTH, KILDARE","Kildare","","€363,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","18 THE MOORINGS, ROBERTSTOWN, COUNTY KILDARE","Kildare","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","45 Carton Wood, Dublin Road, Maynooth","Kildare","","€415,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"05/01/2018","5 ST CONLETHS AVE, NEWBRIDGE, KILDARE","Kildare","","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","9 STAFFAN MANOR, STRAFFAN, KILDARE","Kildare","","€700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","JOHNSTOWN, NAAS, KILDARE","Kildare","","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","MAPLE BROOK, FISHERY LANE, NAAS","Kildare","","€400,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","ROSEBERRY, NEWBRIDGE, CO KILDARE","Kildare","","€227,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","THE BRAMBLES, KILWOGAN, CELBRIDGE","Kildare","","€830,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2018","7 THE MEADOWS, CLANE, KILDARE","Kildare","","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2018","site 95  road 4, kilheale Manor, Kill","Kildare","","€273,127.75","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"09/01/2018","12 ARD AOIBHINN - BLOCK 1, CRADDOCKSTOWN PARK, NAAS","Kildare","","€118,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","222 KINGSBRY, MAYNOOTH, KILDARE","Kildare","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","38 Finlay Park, Old Carragh Road, Naas","Kildare","","€312,775.33","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2018","62 CEDAR PARK, LEIXLIP, KILDARE","Kildare","","€236,000.00","No","No","Second-Hand Dwelling house /Apartment",""
