Address,VAT_Status,Property_Description,condition on Property_Description,Size_Description,Price_Euro,Sale_Date,Year,Town
"56 WOODLAWN ALLENWOOD, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,219000,25-Nov-19,2019,Allenwood
"8 CUSHALLA, ALLENWOOD, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,252000,20-Dec-18,2018,Allenwood
"56 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,255506.6,21-Oct-20,2020,Allenwood
"65 The Willows, Allenwood, Co Kildare",Yes,New Dwelling house /Apartment,0,,259911.89,25-Feb-20,2020,Allenwood
"70 WOODLAWN, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,235000,12-Nov-20,2020,Allenwood
"75 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,280000,18-Dec-20,2020,Allenwood
"92 Woodlawn, Allenwood, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,190308,19-Dec-16,2016,Allenwood
"17 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,140969.16,31-May-13,2013,Allenwood
"71 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,251101.31,26-Jun-20,2020,Allenwood
"8 THE WILLOWS, STATION ROAD, ALLENWOOD",No,Second-Hand Dwelling house /Apartment,1,,320000,29-Jun-17,2017,Allenwood
"ALLENWOOD NORTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,210000,16-Feb-17,2017,Allenwood
"28 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,224669,17-Nov-15,2015,Allenwood
"DEUX CHEVEAUX, STATION RD, ALLENWOOD MIDDLE",No,Second-Hand Dwelling house /Apartment,1,,202000,11-Mar-20,2020,Allenwood
"6 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,260000,19-Dec-19,2019,Allenwood
"72 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,251101,06-Jul-20,2020,Allenwood
"67 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,251101,27-Mar-20,2020,Allenwood
"76 Woodlawn, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,136563.88,20-Jun-14,2014,Allenwood
"STATION ROAD, ALLENWOOD, NASS",No,Second-Hand Dwelling house /Apartment,1,,230000,09-Jul-15,2015,Allenwood
"63  THE WILLOWS, ALLENWOOD",Yes,New Dwelling house /Apartment,0,,251101.31,20-Feb-20,2020,Allenwood
"65 WOODLAWN, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,220000,23-Oct-20,2020,Allenwood
"16 Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,116591,20-Nov-15,2015,Allenwood
"KILLINAGH, ALLENWOOD, COUNTY KILDARE",No,Second-Hand Dwelling house /Apartment,1,,80000,24-Aug-17,2017,Allenwood
"58 the willows, allenwood, kildare",Yes,New Dwelling house /Apartment,0,,255175,19-Oct-20,2020,Allenwood
"21 WHITETHORN PARK, ALLENWOOD",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,176211,07-May-10,2010,Allenwood
"15 WOODLAWN, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,220000,24-Feb-16,2016,Allenwood
"68 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,253480,14-Feb-20,2020,Allenwood
"6 THE WILLOWS, ALLENWOOD, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,325000,04-Oct-16,2016,Allenwood
"1 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,266474.67,19-Dec-19,2019,Allenwood
"APT 4, OAK GROVE, ALLENWOOD",No,Second-Hand Dwelling house /Apartment,1,,198920,16-Aug-18,2018,Allenwood
"NEW RD, ALLENWOOD, NASS",No,Second-Hand Dwelling house /Apartment,1,,150000,15-Feb-18,2018,Allenwood
"Kittery, Nursery Road, Allenwood",No,Second-Hand Dwelling house /Apartment,1,,285000,19-Sep-14,2014,Allenwood
"11 Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,168281.94,15-Jun-10,2010,Allenwood
"16 THE WILLOWS, ALLENWOOD, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,240000,07-Sep-18,2018,Allenwood
"8 Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,110133,06-Sep-13,2013,Allenwood
"59 Woodlawns, Allenwood",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,167400,28-Apr-11,2011,Allenwood
"24 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,209691.62,02-Jun-15,2015,Allenwood
"22 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,238000,19-May-15,2015,Allenwood
"13 WOODLAWN, ALLENWOOD, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,225000,19-Dec-14,2014,Allenwood
"5 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,260000,19-Dec-19,2019,Allenwood
"73 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,254057.12,18-Dec-20,2020,Allenwood
"99 Woodlawn, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 125 sq metres,185022,22-Feb-17,2017,Allenwood
"61 The Willows, Allenwood, Co. Kildare",Yes,New Dwelling house /Apartment,0,,273127.74,14-Jan-20,2020,Allenwood
"Breffni House, Bluetown, Allenwood",No,Second-Hand Dwelling house /Apartment,1,,250000,19-Feb-10,2010,Allenwood
"9 the willows, Allenwood",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,132159,10-Dec-12,2012,Allenwood
